"debttotal"
"1860"
"14997"
"143"
"107"
"204"
"75"
"71"
"6815"
"1328"
"253"
"4234"
"529"
"589"
"489"
"207"
"11"
"38"
"9"
"112"
"6432"
"1833"
"13078"
"47"
"102"
"1204"
"1441"
"1963"
"4822"
"4775"
"2906"
"2651"
"36"
"2101"
"5272"
"938"
"5721"
"2370"
"385"
"3690"
